Species	Taxon Group	Common Name	Estimated Genome Size (Mb)	Log Estimated Genome Size 	Assembly Genome Size (Mb)	Log Assembly Genome Size	Genome Size in Database (Mb)	Additional Measurements (Mb)	Difference Between Estimated and Assembly Size (Mb)	Log Difference Between Estimated and Assembly Size	(Est-Ass/Est)*100	Genomic GC content (%)	Gene Number	Log Gene Number	Average Coding Size/Gene (Exonic bp)	Log Average Coding Size	Coding Amount(Exonic Mb)	Log Coding Amount	Coding Proportion of Estimated Genome Size 	Pseudogene Number	Average Exon Size (bp)	Log Average Exon Size	Average Intron Size (bp)	Log Average Intron Size	Intron Number	Log Intron Number	Intron Amount (Mb)	Log Intron Amount	Introns Proportion Of Assembly	Introns Proportion of Estimate	TE Amount in Assembly (Mb)	Log TE Amount in Assembly	TE Number	Log TE Number	TE Proportion of Estimate	TE Proportion of Assembly	Repeat Amount in Assembly (Mb)	Log Repeat Amount in Assembly	Repeats Prop of Assembly	Repeats Proportion of Estimated Genome Size	Chromosome Number (1n)	Estimated Genome Size/Chromosome Number	Coverage (x)
Ciona intestinalis	Animal	Sea squirt	195.6	2.2913688505	141.23	2.1499269591	195.6		54.37	1.735359333	27.7965235174		16658	4.2216228577																	20.930286	1.3207751628			0.1070055521	0.1482	23.401811	1.3692494675	0.1657	0.1196411605	14	13.9714285714	8.2
Pan troglodytes	Animal	Chimpanzee	3594.15	3.5555961982	2902	3.4626974081	3594.15		692.15	2.8402002232	19.2576826232		18759	4.2732096834						16785											1415.3054	3.1508501637			0.3937802818	0.4877	1500.9144	3.1763559243	0.5172	0.4175992655	24	149.75625	6
Pongo pygmaeus abelii	Animal	Orangutan	3703.36	3.5685959314	3093	3.49037992	3703.36		610.36	2.7855860643	16.4812494599		20424	4.3101408018																	1509.0747	3.1787107381			0.4074879839	0.4879	1613.3088	3.2077175027	0.5216	0.4356338028	24	154.3066666667	6
Macropus eugenii	Animal	Tammar wallaby	2900	3.4623979979	2716.67	3.4340368869	NA		183.33	2.2632335384	6.3217241379	38.8	15290	4.1844074854																	1161.9952	3.0652043341			0.400688	0.4277277697	1531.2	3.1850319204	0.5636312103	0.528	9	322.2222222222	6
Sus scrofa	Animal	pig	3097.815	3.4910554783	2596	3.4143046881	3097.815	2812	501.815	2.7005436389	16.1989983262		21640	4.3352572564																	1085.258	3.0355329959			0.3503301521	0.418050077	1140.266	3.0570061749	0.4392395994	0.368087184	19	163.0428947368	24
Taeniopygia guttata	Animal	Zebra finch	1222.5	3.0872488678	1222	3.0870712059	1222.5		0.5	-0.3010299957	0.0408997955	41.4	17488	4.2427401446																	87.6174	1.9425903616	217543	5.3375451133	0.0716706748	0.0717	103.259	2.0139279149	0.0845	0.0844654397	40	30.5625	5.5
Bos grunniens	Animal	Yak	2657	3.4243915544	2657	3.4243915544	NA				?	41.7	22282	4.3479541699	1475	3.1687920203	32.865	1.5167336366	0.0123692134		174	2.2405492483	3704	3.568670978																	30	88.5666666667	
Heterocephalus glaber	Animal	Naked mole rat	2836.2	3.4527368527	2660	3.4248816366	2836.2	2740	176.2	2.2460059041	6.2125379028		22561	4.3533583455	1439	3.1580607939	32.5	1.511883361	0.0114589944	244	178.73	2.2521974554	4410	3.6444385895	156417	5.1942839521	689.8	2.83872319	0.2593233083	0.2432127495	665	2.8228216453			0.2344686552	0.25					30	94.54	90
Equus caballus	Animal	Horse	3149.16	3.4981947265	2336	3.3684728384	3149.16	2689	813.16	2.9101760072	25.821488905		20449	4.3106720749																	1038.4556	3.0163879327			0.3297563795	0.4445443493	1232.8	3.0908926257	0.527739726	0.3914694712	32	98.41125	6.8
Ailuropoda melanoleura	Animal	Giant panda	2300	3.361727836	2247	3.3516030724			53	1.7242758696	2.3043478261		19343	4.2865238318	1479	3.169968174	28.608	1.4564874971	0.0124382609	2690	175	2.2430380487	3510	3.5453071165							880.824	2.9448891394			0.3829669565	0.392	913.1808	2.9605567717	0.4064	0.3970351304	21	109.5238095238	60
Gadus morhua	Animal	Atlantic cod	909.54	2.9588218033	753	2.8767949762	909.54	830	156.54	2.1946253295	17.2108978165		20095	4.3030880105	1398.35	3.1456158867	28.1	1.4487063199	0.030894738	518											137	2.1367205672	614494	5.7885176467	0.150625591	0.181938911					23	39.5452173913	25
Callorhinchus milii	Animal	Elephant shark	937	2.9717395909	937	2.9717395909	NA				?	42.34	18872	4.2758179279						260											264	2.4216039269	2445000	6.3882788635	0.2817502668	0.2817502668							
Falco peregrinus	Animal	Peregrine falcon	1418.1	3.151706857	1174	3.0696680969	1418.1	1215	244.1	2.3875677794	17.2131725548	41.7	16263	4.211200662	1535.415	3.1862257791	24.97	1.3974185424	0.0176080671		172.758	2.2374381676	2395.324	3.3793642659							53.16	1.7255849723			0.0374867781	0.0452810903	79.752	1.901741583	0.0679318569	0.0562386292	25	56.724	137.6
Falco cherrug	Animal	Saker falcon	1189	3.0751818546	1177	3.0707764628	NA	1189	12	1.079181246	1.0092514718	41.7	16204	4.2096222345	1523.313	3.1827891484	24.684	1.3924155377	0.0207603028		172.978	2.2379908714	2250.369	3.3522537366							52.045	1.7163790129			0.0437720774	0.0442183517	80.145	1.9038764332	0.0680926083	0.0674053827			147
Anas platyrhynchos 	Animal	Mallard duck	1650.864	3.2177112971	1105	3.043362278	1650.864	1260	545.864	2.7370844533	33.0653524457		15634	4.1940701076	1345	3.1287222843	21.027	1.3227773147	0.0127369668	249	164	2.214843848	2664	3.4255342205													65.195	1.8142142897	0.059	0.0394914421	40	41.2716	60
Sarcophilus harrisii	Animal	Tasmanian devil	3550.14	3.5502454798	3228	3.5089335261	3550.14	3630	322.14	2.5080446543	9.074008349		18788	4.2738805515																											8	443.7675	85
Ara macao	Animal	Scarlet macaw	1365.94	3.135431623	1035	3.0149403498	1365.94	1110-1116	330.94	2.5197492626	24.2280041583		14405	4.1585132626																			241697	5.3832712599			53.82	1.7309436934	0.052	0.0394014378	35	39.0268571429	26
Meleagris gallopavo	Animal	Turkey	1431.14	3.1556821203	1038	3.0161973535	1431.14	1100	393.14	2.5945472333	27.470408206		14125	4.1499884565																	70.961	1.8510197271	285524	5.4556426192	0.0495835488	0.0683631985	78.128	1.8928067069	0.0752678227	0.0545914446	40	35.7785	35
Solenopsis invicta	Animal	Fire ant	606.36	2.7827305443	352.7	2.5474054597	606.36	484.2	253.66	2.4042519881	41.8332343822	36.1	12488	4.0964928901																											16	37.8975	30
Plutella xylostella 	Animal		343	2.53529412	343	2.53529412	NA	339.4			?		18071	4.2569821859	1385	3.1414497734	25.028	1.3984261463	0.07296793		214	2.3304137733	1224	3.0877814178													116.5171	2.0663896669	0.3397	0.3397	31	11.064516129	
Camponotus floridanus	Animal		224.94	2.3520666908	238.2	2.3769417571	224.94		-13.26		-5.8949053081	34	17064	4.2320808424	1496.59	3.175102839	25.538	1.4071868826	0.1135324976				793.5	2.8995469311													36	1.5563025008	0.1511335013	0.160042678			100
Harpegnathos saltator	Animal		296.7	2.4723175463	296.7	2.4723175463	NA				?	45	18564	4.2686715597	1540.17	3.1875686598	28.592	1.4562445352	0.0963667004				689.64	2.8386224432													89.1	1.949877704	0.3003033367	0.3003033367			100
Atta cephalotes	Animal	leafcutter ant	303.18	2.4817005486	290.223	2.462731827	303.18		12.957	1.1125044588	4.2736987928	32.6	18153	4.2589484077																	69.97	1.8449118739	345858	5.5388978257	0.2307869912	0.2410904718	80	1.903089987	0.2756501035	0.2638696484			19
Acromyrmex echinatior	Animal	Panamanian leafcutter	335	2.525044807	299.57	2.4764983194	NA	313-335	35.43	1.5493711523	10.576119403	34	17278	4.2374934697																	73.49	1.8662282474			0.2193731343	0.2453182895	93.8	1.9722028384	0.3131154655	0.28			107
Linepithema humile	Animal	Argentine ant	254.28	2.4053122028	215.6	2.3336487565	254.28	250.8	38.68	1.5874864654	15.2115777883	37.7	16123	4.207445854																	23.61	1.3730959871	85324	4.931071207	0.0928504011	0.1095083488	28.7	1.4578818967	0.1331168831	0.1128677049	8	31.785	30
Pogonomyrmex barbatus	Animal	Red Harvester Ant	235	2.3710678623	235	2.3710678623	NA				?	36.5	17177	4.2349473157																	18.6	1.2695129442			0.0791489362	0.0791489362					16	14.6875	
Trichinella spiralis 	Animal		71.3	1.8530895299	64	1.806179974	254.28	71.3	7.3	0.8633228601	10.2384291725	34	15808	4.1988769272	993	2.9969492485	15.7	1.1958996524	0.2201963534												1.27	0.103803721			0.0178120617	0.01984375	12.78	1.1065308538	0.1996875	0.1792426367	12	5.9416666667	34.6
Brugia malayi 	Animal		107.58	2.0317315399	88.5	1.9469432707	107.58	90-95	19.08	1.2805783704	17.7356385945	30.5	16000	4.2041199827	1155.93	3.0629315352	13.28	1.123198075	0.1234430191		159	2.2013971243	311	2.492760389	72157	4.8582784687	22.512	1.3524140801	0.2543728814	0.2092582264											5	21.516	9
Echinococcus granulosis	Animal		151.6	2.1806992013	151.6	2.1806992013	NA				?		10231	4.0099180847																											9	16.8444444444	
Meloidogyne incognita	Animal		48.9	1.6893088591	86	1.9344984512	48.9	47-51	-37.1		-75.8691206544	31.4	18212	4.2603576416	1118.78	3.0487446941	21.776	1.3379781079	0.4453169734		169	2.2278867046	230	2.361727836	109181	5.0381470677	25.081	1.3993448482	0.2916395349	0.5129038855	5.4782	0.7386378836			0.1120286299	0.0637	31.5792	1.4994011238	0.3672	0.645791411			5
Meloidogyne hapla	Animal	arrow worm	44.01	1.6435513686	54	1.7323937598	44.01		-9.99		-22.6993865031	27.4	14420	4.1589652604																	0.100417	-0.9981927575			0.002281686	0.0018595741	9.9036	0.9957930912	0.1834	0.2250306748	16	2.750625	10.4
Botryllus schlosseri	Animal		725	2.8603380066	580	2.7634279936	NA	725	145	2.1613680022	20	40.49	27463	4.4387479769							170	2.2304489214									375.299	2.5743774072			0.5176537931	0.6470672414					16	45.3125	400
Sus scrofa Wuzhishan 	Animal	chinese mini pig	3097.815	3.4910554783	2640	3.4216039269	3097.815		457.815	2.6606900179	14.7786423657		20326	4.3080519212	1500	3.1760912591	31.2	1.494154594	0.010071615				3500	3.5440680444													1008.6	3.0037189638	0.3820454545	0.3255843231	20	154.89075	78
Thunnus orientalis	Animal	bluefin tuna	800	2.903089987	740.3	2.8694077494	NA		59.7	1.7759743311	7.4625		26433	4.422146456																													54.9
Macaca mulatta	Animal	rhesus monkey	3290.97	3.5173239233	2870	3.4578818967	3290.97		420.97	2.6242511474	12.7916693255		21905	4.3405432575																			320000	5.5051499783							21	156.7128571429	6
Clonorchis sinensis	Animal	liver fluke	644	2.8088858674	516	2.7126497016	NA	644	128	2.1072099696	19.8757763975	43.85	16258	4.2110671192	1315.7	3.1191568747	26.6616	1.4258862085	0.0414		223	2.348304863	2077	3.3174364965	99840	4.9993045723	207.368	2.3167417391	0.401875969	0.322							132.2	2.1212314551	0.2562015504	0.2052795031	28	23	72
Heterorhabditis bacteriophora	Animal	entomopathogenic nematode	44.01	1.6435513686	77	1.8864907252	44.01	80	-32.99		-74.9602363099	32.2	21250	4.3273589344																											7	6.2871428571	26.1
Loa loa	Animal	African eyeworm	91.4	1.9609461957	91.4	1.9609461957	NA				?	31	14261	4.1541499799	1122	3.0499928569	16	1.2041199827	0.1750547046		165	2.2174839442	335	2.525044807													8.5002	0.9294291443	0.093	0.093	6	15.2333333333	
Wuchereria bancrofti 	Animal	filarial worm	81.5	1.9111576087	81.5	1.9111576087	NA				?	29.7	14785	4.1698213289	751.5	2.8759289849	11.11	1.0457140589	0.1363190184		167	2.2227164711	315	2.4983105538													5.053	0.7035492982	0.062	0.062	5	16.3	
Schistosoma japonicum	Animal	parasitic flatworm	436.7	2.6401831919	397	2.5987905068	NA		39.7	1.5987905068	9.0909090909	34.1	13469	4.1293353529	1180	3.0718820073	15.9	1.2013971243	0.0364094344		222	2.3463529745	2407	3.3814760903	44947	4.6527007099	108.189	2.0341831066	0.2725163728	0.2477421571	128.1913	2.1078585518			0.2935454545	0.3229	175.24771	2.2436523517	0.44143	0.4013	8	54.5875	60
Dendroctonus ponderosae	Animal	mountain pine beetle	208	2.318063335	204	2.3096301674	205.38	208	4	0.6020599913	1.9230769231	36	13088	4.1168732863																	19.2	1.2833012287			0.0923076923	0.0941176471	52.504	1.7201923912	0.257372549	0.2524230769	12	17.3333333333	443
Drosophila erecta	Animal		146.7	2.1664301138	152.7	2.1838390371	146.7		-6		-4.0899795501		15347	4.1860234931	1765.817	3.2469456936	27.1	1.4329692909	0.184730743								22	1.3424226808	0.1440733464	0.1499659168							10.22499	1.0096628919	0.0669612967	0.0697	4	36.675	10.6
Drosophila ananassae	Animal		198.86	2.2985474351	231	2.3636119799	198.86		-32.14		-16.1621241074		15301	4.1847198152	2287.432	3.3593481924	35	1.5440680444	0.1760032183								22.3	1.348304863	0.0965367965	0.1121391934							49.575	1.6952627229	0.2146103896	0.2492959871	4	49.715	8.9
Drosophila virilis	Animal		361.86	2.5585405789	206	2.3138672204	361.86		155.86	2.1927346719	43.0719062621		14704	4.167435494	2462.915	3.3914494237	36.2	1.5587085705	0.100038689								21.7	1.3364597338	0.1053398058	0.0599679434							50.52	1.7034633419	0.2452427184	0.1396120046	6	60.31	8
Drosophila persimilis	Animal		192.34	2.2840696117	188.4	2.2750808985	192.34		3.94	0.5954962218	2.0484558594		17348	4.2392494135	1850.357	3.2672555274	32.1	1.5065050324	0.1668919622								21.9	1.3404441148	0.1162420382	0.1138608714							16.29	1.2119210843	0.0864649682	0.0846937714	5	38.468	4.1
Drosophila willistoni	Animal		220.05	2.3425213729	235.5	2.3719909115	220.05		-15.45		-7.021131561		15840	4.1997551773	2645.2	3.422458514	41.9	1.622214023	0.1904112702								23.5	1.3710678623	0.0997876858	0.1067939105							34.26	1.5347873586	0.145477707	0.1556918882	3	73.35	8.4
Drosophila mojavensis	Animal		179.3	2.2535802896	193.8	2.2873537727	179.3		-14.5		-8.0870050195		14872	4.1723693768	2413.932	3.3827250319	35.9	1.5550944486	0.2002230898								21.9	1.3404441148	0.113003096	0.122141662							15.99	1.2038484637	0.0825077399	0.089180145	6	29.8833333333	8.2
Drosophila grimshawi	Animal		239.61	2.3795049392	200.5	2.302114377	239.61		39.11	1.592287816	16.3223571637		15294	4.1845210859	2118.477	3.3260237533	32.4	1.5105450102	0.1352197321								22.5	1.3521825181	0.1122194514	0.0939025917							6.8	0.8325089127	0.033915212	0.0283794499	6	39.935	7.9
Drosophila pseudoobscura	Animal		172.128	2.2358515226	139	2.1430148003	172.128		33.128	1.5201952175	19.2461424057		16388	4.2145259553	1568.22	3.1954069882	25.7	1.4099331233	0.1493074921								24	1.3802112417	0.1726618705	0.139431121							4.75	0.6766936096	0.0341726619	0.0275957427	5	34.4256	9.7
Caenorhabditis briggsae	Animal		117.36	2.0695201008	105.6	2.0236639182	117.36		11.76	1.0704073217	10.0204498978	37.4	19500	4.2900346114	1235.897	3.091982278	24.1	1.3820170426	0.2053510566						94832	4.9769549099	31.6	1.4996870826	0.2992424242	0.269256987											6	19.56	10
Alligator sinensis	Animal	Chinese alligator	2274	3.3567904604	2274	3.3567904604	NA				?	44.5	22200	4.3463529745	1403.142	3.1471016245	31.089	1.4926067529	0.013671504								459.971	2.6627304514	0.2022739666	0.2022739666	862.821	2.9359207068			0.3794287599	0.3794287599					16	142.125	109
Pteropus alecto	Animal	black flying fox	2030	3.3074960379	2030	3.3074960379	NA	2000			?		21392	4.3302513899	1463.16	3.1652918198	31.3	1.4955443375	0.0154187192												598.69	2.7772020041			0.2949211823	0.2949211823					19	106.8421052632	110
Myotis davidii	Animal	David's Myotis	2090	3.3201462861	2090	3.3201462861	NA	1940			?		21705	4.3365597902	1400.59	3.1463110212	30.4	1.4828735836	0.0145454545												728.21	2.8622566385			0.3484258373	0.3484258373					23	90.8695652174	110
Myotis brandtii	Animal	Brandt's bat	2180	3.3384564936	2180	3.3384564936	NA	1900			?		22256	4.3474471126	1501	3.1763806922	31.77	1.5020172148	0.0145733945	194	177	2.2479732664	4243	3.6276730318													483.06	2.684001077	0.221587156	0.221587156	22	99.0909090909	120
Columba livia	Animal	rock pigeon	1435.215	3.1569169647	1110	3.0453229788	1435.215	1300	325.215	2.5121705685	22.6596711991	41.5	17300	4.2380461031	1404.2	3.1474289687	22.2	1.3463529745	0.0154680658	155	165.87	2.2197678447	2271.79	3.3563681835	117264	5.0691647043	266.4	2.4255342205	0.24	0.1856167891							97.039	1.9869463124	0.0874225225	0.0676128664	40	35.880375	60
Panthera tigris	Animal	Amur tiger	2523.24	3.4019585608	2439.76	3.3873471067	2523.24		83.48	1.9215824404	3.3084446981		20226	4.3059100029	1377	3.1389339403	27.851	1.4448407933	0.0110377927		170	2.2304489214	4818	3.6828667957													958.9	2.9817733186	0.393030462	0.3800272665	19	132.8021052632	99
Haemonchus contortus	Animal	barbers pole worm	58.68	1.7684901052	319.64	2.504661122	58.68		-260.96		-444.7171097478	42.4	23610	4.3730959871	835	2.9216864755	19.714	1.2947747522	0.3359577369		139	2.1430148003	832	2.9201233263													42.83	1.6317480744	0.1339944938	0.7298909339	12	4.89	163
Chrysemys picta bellii	Animal	western painted turtle	2738.4	3.4374968861	2589.74	3.4132561648	2738.4		148.66	2.1721941285	5.4287174993		21796	4.3383767992																	651.716	2.8140583833	887280	5.9480606923	0.2379915279	0.2516530617	651.716	2.8140583833	0.2516530617	0.2379915279	25	109.536	15
Mesobuthus martensii	Animal	Chinese scorpion	1323.73	3.1217994115	1128.5	3.0525015634	NA	1323.73	195.23	2.2905465543	14.7484758977	29.6	32016	4.5053670713	772.668	2.8879929263	24.737	1.3933470291	0.0186873456	552	198.12	2.2969283193	2120	3.3263358609							35	1.5440680444			0.0264404372	0.0310146212	101.217	2.005253461	0.0896916261	0.0764634782			200
Python molurus bivittatus	Animal	Burmese python	1422.7	3.1531133315	1422.7	3.1531133315	NA				?	39.78									130	2.1139433523	1116	3.0476641946							845.0838	2.9268997765			0.594	0.594	458.208	2.6610626674	0.3220693048	0.3220693048	18	79.0388888889	
Ophiophagus hannah	Animal	king cobra	1475	3.1687920203	1660	3.220108088	NA	1360-1590	-185		-12.5423728814																				1002.64	3.0011450267			0.6797559322	0.604	519.495	2.7155813719	0.3129487952	0.3522			28
Mnemiopsis leidyi	Animal	comb jelly	303.18	2.4817005486	156	2.1931245984	303.18		147.18	2.1678487986	48.5454185632	38	16548	4.2187455122	1389	3.1427022457	23.0256	1.3622109558	0.0759469622		314	2.4969296481	893	2.9508514589							1.2012	0.0796153235			0.0039620028	0.0077	15.693	1.1957059747	0.1005961538	0.0517613299			12
Lipotes vexillifer	Animal	Yangtze river dolphin	3823.98	3.5825156122	3910	3.5921767574	3823.98		-86.02		-2.2494887526	41.5	22168	4.3457265128	1494	3.1743505975	33.118	1.5200641018	0.0086606101		195	2.2900346114	3135	3.4962375452							1074	3.0310042814			0.2808592095	0.2746803069	1108	3.0445397604	0.2833759591	0.2897504694	22	173.8172727273	115
Belgica antarctica	Animal	Antarctic midge	98.825	1.994866823	97.25	1.98788961	NA	98.825	1.575	0.1972805581	1.5937262838	39	13517	4.1308803138	1403	3.147057671	18.619	1.2699563519	0.188403744				333	2.5224442335							0.11859	-0.9259519309			0.0012	0.0012194344	9.8825	0.994866823	0.1016195373	0.1	3	32.9416666667	150
Takifugu flavidus	Animal		390	2.591064607	384.451	2.5848409949	NA	390	5.549	0.7442147248	1.4228205128	45.2	29192	4.4652638504	1503	3.1769589806	43.876	1.6422270278	0.1125025641												18.759	1.2732096834	47867	4.6800362095	0.0481	0.0487942547	26.5	1.4232458739	0.0689294605	0.0679487179			131
Brachypodium distachyon	Plant	Purple false brome	355	2.5502283531	272	2.434568904	355		83	1.9190780924	23.3802816901		26552	4.4240972394	1474	3.1684974835	39.137	1.5925875323	0.1102450704		364	2.5611013836	440	2.6434526765							76.091	1.8813332917	80049	4.9033559109	0.2143408451	0.2797463235					5	71	9.43
Oryza brachyantha	Plant		342	2.5340261061	261	2.4166405073	342		81	1.9084850189	23.6842105263		32038	4.505665397	1087	3.0362295441	34.825	1.5418911251	0.1018274854		230	2.361727836	416	2.6190933306							70.96	1.8510136068	220600	5.3436055081	0.2074853801	0.2718773946					12	28.5	104
Oryza sativa indica	Plant	rice	489	2.6893088591	430	2.6334684556	489	466	59	1.7708520116	12.0654396728		39049	4.5916099166	990	2.9956351946	38.658	1.5872393817	0.0790552147		201	2.3031960574	356	2.551449998							184.07	2.2649830123			0.3764212679	0.4280697674					12	40.75	6.28
Zea mays	Plant	corn	2665	3.4256972134	2048	3.3113299523	2665	2300	617	2.790285164	23.1519699812		32540	4.5124175486	1611.2	3.2071494532	52.428	1.7195632908	0.0196727955		302	2.480006943	500	2.6989700043	80561	4.9061248485	40.281	1.6051002436	0.019668457	0.0151148218	1722	3.2360331471	12883000	7.1100170068	0.6461538462	0.8408203125	1770	3.2479732664	0.8642578125	0.6641651032	10	266.5	5
Sorghum bicolor	Plant	sorghum	734	2.8656960599	697.6	2.8436064719	734	730	36.4	1.5611013836	4.9591280654		34496	4.5377687392	1259.6	3.100232652	41.856	1.6217577223	0.0570245232		268	2.428134794	436	2.6394864893	128000	5.1072099696	55.808	1.7466964589	0.08	0.0760326975	452.6	2.6557145496	293402	5.4674630699	0.6166212534	0.6487958716	460	2.6627578317	0.6594036697	0.6267029973	10	73.4	8
Setaria italica	Plant	foxtail millet	513	2.7101173651	396.7	2.5984622005	513		116.3	2.0655797147	22.6705653021		26500	4.4232458739	1735.85	3.2395121938	46	1.6627578317	0.089668616												204	2.3096301674			0.3976608187	0.5142425006					9	57	8.29
Arabidopsis thaliana	Plant	thale cress	156	2.1931245984	115.4	2.0622058088	156	125	40.6	1.6085260336	26.0256410256	36	27416	4.4380040914	1300	3.1139433523	37.68	1.5761108941	0.2415384615	4260	215	2.3324384599	163	2.2121876044	57904	4.7627085658	9.438	0.974879973	0.0817850953	0.0605	22.159	1.3455501575	22856	4.3590002274	0.1420448718	0.1920190641					5	31.2	
Medicago truncatula	Plant	barrel medic	465	2.6674529529	375	2.5740312677	465		90	1.9542425094	19.3548387097		62388	4.7951010635	872	2.9405164849	41.25	1.6154239529	0.0887096774		253	2.4031205212	411	2.6138418219	173357	5.2389413828	71.25	1.8527848687	0.19	0.1532258065	80.1	1.9036325161			0.1722580645	0.2136					8	58.125	40
Solanum lycopersicum	Plant	tomato	900	2.9542425094	760	2.8808135923	NA	900	140	2.1461280357	15.5555555556		34727	4.5406672671						500																					12	75	27
Glycine max	Plant	soybean	1100	3.0413926852	937.32	2.9718878839	1100	1115	162.68	2.2113341637	14.7890909091		46430	4.6667986837																	587.101	2.7687128201	608062	5.7839478636	0.5337281818	0.626361328	587.101	2.7687128201	0.626361328	0.5337281818	20	55	8.02
Cucumis sativus	Plant	cucumber	880	2.9444826722	243.5	2.3864989656	880	350-367	636.5	2.803798408	72.3295454545		21491	4.3322566242	1046	3.0195316845	22.479	1.3517769873	0.0255443182		238	2.3765769571	483	2.6839471308							117.92	2.0715874705			0.134	0.4842710472					7	125.7142857143	86
Citrus Carrizo	Plant	C. sinensis x Poncirus trifoliata	988	2.9947569446	367	2.5646660643	NA	988	621	2.7930916002	62.8542510121		31861	4.5032594026																	23.78	1.3762118503	330079	5.5186178949	0.0240688259	0.0647956403	28.359	1.4526909126	0.0772724796	0.0287034413			3.5
Amborella trichopoda	Plant	early branching shrub	868	2.9385197252	706	2.8488047011	868	748-870	162	2.2095150145	18.66359447		26846	4.4288795859	1419	3.1519823955	25.402	1.4048679117	0.029264977		229	2.3598354823			82271	4.9152467762	114.572	2.0590784943	0.1622832861	0.1319953917	380.9	2.5808109727	823265	5.9155396524	0.4388248848	0.5395184136	425.389	2.6287862554	0.6025339943	0.4900794931	13	66.7692307692	30
Nelumbo nucifera	Plant	sacred lotus	929	2.968015714	804	2.9052560487	237	929	125	2.096910013	13.45532831		26685	4.4262672071	1461.49	3.1647958481	39	1.591064607	0.0419806243		294	2.4683473304	1249	3.0965624384	108887	5.0369760325	157	2.1958996524	0.1952736318	0.1689989236	443.133	2.646534093	396000	5.5976951859	0.477	0.5511604478	525.81	2.7208288414	0.6539925373	0.5659956943	8	116.125	100
Fragaria vesca	Plant	woodland strawberry	241	2.3820170426	209.8	2.3218054839	241	240	31.2	1.494154594	12.9460580913		32831	4.5162841111	1160	3.0644579892	38.084	1.5807425565	0.1580248963		232	2.3654879849	407	2.6095944092	139567	5.1447827434	56.804	1.7543789188	0.2707530982	0.2357012448	43.958	1.6430379247			0.1823983402	0.2095233556	46.062	1.663342791	0.2195519542	0.1911286307	7	34.4285714286	49
Malus domestica	Plant	apple	792	2.8987251816	603.9	2.7809650296	792	742.3	188.1	2.2743887956	23.75		26374	4.4211760019	1155	3.0625819842	30.46	1.483729899	0.038459596		273	2.436162647	491	2.6910814921	218353	5.3391591632	107.211	2.0302393469	0.1775310482	0.1353674242	314.5	2.4976206498	484402	5.6852059276	0.3970959596	0.5207815864	500.7	2.6995775914	0.8291107799	0.6321969697	17	46.5882352941	11
Linum usitatissimum	Plant	flax	373.596	2.5724022177	302	2.480006943	685	373.596	71.596	1.8548887594	19.1640167454	40	26374	4.4211760019	1200	3.079181246	31.648	1.5003462699	0.0847118277												73.84	1.868291688	234783	5.3706666476	0.1976466557	0.2445033113					15	24.9064	94
Populus trichocarpa	Plant	black cottonwood	484	2.6848453616	410	2.6127838567	484	550	74	1.8692317197	15.2892561983		41335	4.616317942	1092.2	3.0383021722	45.146	1.6546192772	0.0932768595		254	2.4048337166	379	2.57863921	141199	5.149831621	53.514	1.7284674143	0.1305219512	0.1105661157	69.3	1.8407332346			0.1431818182	0.1690243902	212.96	2.3282980381	0.5194146341	0.44	19	25.4736842105	7.45
Vitis vinifera pinot noir	Plant	grape vine	416	2.6190933306	477.1	2.6786094166	416	504.6	-61.1		-14.6875		26346	4.4207146875	1138.69	3.0564055067	30	1.4771212547	0.0721153846												108.5	2.0354297382	84684	4.9278013635	0.2608173077	0.2274156361	138.5	2.1414497734	0.2902955355	0.3329326923	19	21.8947368421	12
Selaginella moellendorffii	Plant		86	1.9344984512	106.3	2.0265332645	86		-20.3		-23.6046511628		22273	4.3477787171	1276	3.1058506744	28.42	1.4536240736	0.3304651163				103	2.0128372247	101715	5.0073850034	10.477	1.0202369439	0.0985606773	0.1218255814	39.75	1.599337133			0.4622093023	0.3739416745					10	8.6	7
Aegilops tauschii 	Plant		4360	3.6394864893	4230	3.6263403674	NA	4360	130	2.1139433523	2.9816513761		43150	4.6349808001	1200	3.079181246	51.78	1.7141620461	0.0118761468		243	2.3856062736	442	2.6454222693							2264.319	3.3549376108			0.5193392202	0.5353	2787.993	3.445291679	0.6591	0.6394479358	7	622.8571428571	90
Triticum urartu 	Plant	wild einkorn wheat	4817	3.6827766463	4660	3.6683859167	4817	4940	157	2.1958996524	3.2592900145		34879	4.542564025	1080	3.0334237555	37.669	1.5759840911	0.0078200125		230	2.361727836	411	2.6138418219							2841.982	3.4536213229			0.5899900353	0.609867382	3116.608	3.4936821811	0.6688	0.6470018684	7	688.1428571429	90
Triticum aestivum 	Plant		16944	4.2290159428	10200	4.0086001718	16944		6744	3.8289175616	39.8016997167	47.72	95000	4.9777236053	748.07	2.8739422385	71.067	1.8516679827	0.004194228		313	2.4955443375															7813.2	3.8928289414	0.766	0.4611189802	21	806.8571428571	5
Hordeum vulgare	Plant	barley	5428	3.734639839	4560	3.6589648427	5428	5100	868	2.9385197252	15.9911569639		53220	4.7260748702	1878	3.2736955879	99.947	1.9997697629	0.0184132277		474	2.6757783417									4284	3.6318494622			0.7892409727	0.9394736842	3830.4	3.5832441287	0.84	0.7056742815	7	775.4285714286	30
